,BOO,date,month,year,season,time,lati,long,cino,ecp,mssw,pd,grade,oci,diam,sst,cyclone_id
0,0,1.0,5.0,1982.0,2.0,300,14.0,82.5,1.5,,25.0,3.0,1.0,,,30.97,1982-1
1,0,1.0,5.0,1982.0,2.0,600,14.5,82.5,2.0,,30.0,5.0,2.0,,,30.97,1982-1
2,0,1.0,5.0,1982.0,2.0,900,14.75,82.25,2.25,,32.5,5.5,,,,30.76,1982-1
3,0,1.0,5.0,1982.0,2.0,1200,15.0,82.0,2.5,,35.0,6.0,3.0,,,30.76,1982-1
4,0,1.0,5.0,1982.0,2.0,1500,15.25,82.25,2.5,,37.5,7.0,,,,30.76,1982-1
5,0,1.0,5.0,1982.0,2.0,1800,15.5,82.5,2.5,,40.0,8.0,3.0,,,29.92,1982-1
6,0,1.0,5.0,1982.0,2.0,2100,15.75,82.75,2.75,,42.5,9.0,,,,29.98,1982-1
7,0,2.0,5.0,1982.0,2.0,0,16.0,83.0,3.0,,45.0,10.0,3.0,,,30.0,1982-1
8,0,2.0,5.0,1982.0,2.0,300,16.5,83.5,3.0,,45.0,10.04,3.0,,,30.439999,1982-1
9,0,2.0,5.0,1982.0,2.0,600,16.5,84.0,3.5,,50.0,12.4,4.0,,,30.439999,1982-1
10,0,2.0,5.0,1982.0,2.0,900,16.5,84.25,3.5,,52.5,13.7,,,,30.439999,1982-1
11,0,2.0,5.0,1982.0,2.0,1200,16.5,84.5,3.5,,55.0,15.0,4.0,,,30.439999,1982-1
12,0,2.0,5.0,1982.0,2.0,1500,16.75,84.75,3.5,,55.0,15.0,,,,28.98,1982-1
13,0,2.0,5.0,1982.0,2.0,1800,17.0,85.0,3.5,,55.0,15.0,4.0,,,28.98,1982-1
14,0,2.0,5.0,1982.0,2.0,2100,17.0,85.5,3.5,,57.5,16.43,,,,29.039998999999998,1982-1
15,0,3.0,5.0,1982.0,2.0,0,17.0,86.0,3.5,,60.0,17.85,4.0,,,29.06,1982-1
16,0,3.0,5.0,1982.0,2.0,300,17.0,86.5,4.0,,65.0,20.95,7.0,,,29.06,1982-1
17,0,3.0,5.0,1982.0,2.0,600,17.5,87.5,4.5,,80.0,31.74,7.0,,,28.47,1982-1
18,0,3.0,5.0,1982.0,2.0,900,17.5,88.0,4.75,,85.0,35.95,,,,28.47,1982-1
19,0,3.0,5.0,1982.0,2.0,1200,17.5,88.5,5.0,,90.0,40.17,7.0,,,28.47,1982-1
20,0,3.0,5.0,1982.0,2.0,1500,17.5,89.25,5.25,,97.5,47.42,,,,28.22,1982-1
21,0,3.0,5.0,1982.0,2.0,1800,17.5,90.0,5.5,,105.0,54.68,7.0,,,27.939999,1982-1
22,0,3.0,5.0,1982.0,2.0,2100,17.5,90.5,5.75,,110.0,60.14,,,,27.939999,1982-1
