,lati,long,ecp,mssw,sst,cyclone_id,distance,direction
0,9.4,84.0,990.0,25.0,29.029999,1982-10,0.0,0.0
1,9.6,83.8,990.4,26.0,29.119999,1982-10,19.409020743538893,12.072801663805013
2,9.8,83.6,990.8,27.0,29.119999,1982-10,19.4033727970064,10.658363072645285
3,10.0,83.4,991.2,28.0,28.72,1982-10,19.39761006698486,10.568108154501285
4,10.2,83.2,991.6,29.0,28.779999,1982-10,19.391732732141694,12.088713700119657
5,10.4,83.0,992.0,30.0,28.779999,1982-10,19.385740974822514,18.883139833634832
6,10.6,82.83,992.0,30.0,28.56,1982-10,18.009436654784974,115.92780831756802
7,10.8,82.67,992.0,30.0,28.56,1982-10,17.57711202076094,175.33166976039703
8,11.0,82.5,992.0,30.0,29.08,1982-10,17.999676874155593,180.062497645641
9,11.5,82.25,993.0,32.5,29.929998,1982-10,38.477084070477076,186.88780547472086
10,12.0,82.0,994.0,35.0,29.929998,1982-10,38.46386131645872,195.2518262038401
11,12.25,81.75,990.0,42.5,29.929998,1982-10,24.157262965762246,212.1913057313479
12,12.5,81.5,986.0,50.0,29.96,1982-10,24.146086071604426,293.86031783113356
13,12.7,81.5,982.0,55.0,29.57,1982-10,13.81868434892607,0.0
14,13.13,81.17,982.0,55.0,29.88,1982-10,37.102547655521114,342.28024115013153
15,13.57,80.83,982.0,55.0,29.8,1982-10,38.03504823241212,349.1721827127824
16,14.0,80.5,982.0,55.0,29.949999,1982-10,37.05471908179259,354.8924468232497
17,14.25,80.25,984.0,52.5,29.949999,1982-10,24.061750051501093,42.86124964202189
18,14.5,80.0,986.0,50.0,29.949999,1982-10,24.04883804794643,168.8372493917492
19,7.5,84.0,998.2439024390244,25.0,27.449999,1982-12,0.0,0.0
20,7.8,83.6,998.2682926829268,25.0,27.449999,1982-12,34.35021719509267,183.10728706219342
21,8.1,83.2,998.2926829268292,25.0,27.47,1982-12,34.33455848316259,19.052208210709804
22,8.4,82.8,998.3170731707318,25.0,27.47,1982-12,34.31830578768417,14.12418040968258
23,8.7,82.4,998.3414634146342,25.0,28.18,1982-12,34.30146004794177,17.00986485200415
24,9.0,82.0,998.3658536585366,25.0,28.18,1982-12,34.284022238484425,28.47196843439216
25,9.17,81.17,998.390243902439,25.0,28.359999,1982-12,57.833436626132354,97.95910040572245
26,9.33,80.33,998.4146341463414,25.0,27.66,1982-12,58.340702529964524,130.2674214077719
27,11.5,66.0,999.0,25.0,28.24,1982-15,0.0,0.0
28,11.55,65.92,998.5,26.25,28.24,1982-15,6.424024862920433,357.0663299806791
29,11.6,65.85,998.0,27.5,28.24,1982-15,5.863879621628337,356.95320714509137
30,11.65,65.77,997.5,28.75,28.24,1982-15,6.422392955712292,355.7490513479726
31,11.7,65.7,997.0,30.0,28.21,1982-15,5.862505269658924,355.3693424803193
32,12.5,65.0,995.0,35.0,27.689999,1982-15,72.74393904498434,227.2740156618416
33,12.67,65.0,994.67,36.67,27.71,1982-15,11.74588169658725,180.0
34,12.83,65.0,994.33,38.33,27.71,1982-15,11.054947479140829,180.0
35,13.0,65.0,994.0,40.0,27.71,1982-15,11.74588169658736,180.0
36,13.12,65.08,993.5,41.25,27.71,1982-15,9.886202503882222,176.0729525611892
37,13.25,65.15,993.0,42.5,27.71,1982-15,10.14169558399343,176.8855001420005
38,13.38,65.23,992.5,43.75,27.71,1982-15,10.469543567009566,176.85318691044552
39,13.5,65.3,992.0,45.0,26.619999,1982-15,9.532711184153907,177.6135371289034
40,14.0,65.5,986.0,55.0,27.49,1982-15,37.062675677220014,178.349463289719
41,14.17,65.67,984.67,56.67,27.49,1982-15,16.363385540900822,180.33703418535683
42,14.33,65.83,983.33,58.33,27.49,1982-15,15.395409728543147,181.85180597304472
43,14.5,66.0,982.0,60.0,27.49,1982-15,16.351795775684938,183.64018957551124
44,14.7,66.1,982.0,60.0,27.96,1982-15,15.35127695006999,183.36493491197834
45,14.9,66.2,982.0,60.0,27.96,1982-15,15.348612298643795,184.59214148517907
46,15.1,66.3,982.0,60.0,27.96,1982-15,15.345914226508002,185.8267726480622
47,15.3,66.4,982.0,60.0,27.949999,1982-15,15.343182847569373,187.06820043089584
48,15.5,66.5,982.0,60.0,28.99,1982-15,15.340418277194361,188.3222512097663
49,15.83,66.83,981.33,61.67,27.72,1982-15,31.652035116746614,207.05436203281394
50,16.17,67.17,980.67,63.33,27.72,1982-15,32.58520527306828,205.61885589998028
51,16.5,67.5,980.0,65.0,28.24,1982-15,31.601105009493757,199.7952593754757
52,16.9,68.0,978.0,68.0,28.34,1982-15,43.113114785794224,194.20510455723536
53,17.3,68.5,976.0,71.0,28.34,1982-15,43.05932617824576,179.27603639084802
54,17.7,69.0,974.0,74.0,28.96,1982-15,43.00435159021357,167.23599981287893
55,18.1,69.5,972.0,77.0,27.91,1982-15,42.94819720590539,158.09320713679668
56,18.5,70.0,970.0,80.0,27.91,1982-15,42.89086936079098,152.218248273114
57,19.17,70.17,967.33,83.33,28.56,1982-15,47.60869705385203,166.29283893250687
58,19.83,70.33,964.67,86.67,28.789999,1982-15,46.777171184981235,158.54927218188666
